scenario,policy,group,hidden_pose_error_cm,clearance_error_cm,unsafe_clearance_rate,false_external_shadow_rate,safe_action_success,self_occlusion_f1,utility,oracle_regret
wrist_self_occlusion,shadow_removal_inpainting,all,4.426924,4.882381,0.383370,0.151306,0.451132,0.523733,-0.143159,0.776105
wrist_self_occlusion,kinematic_only_self_model,all,4.578337,5.013412,0.394315,0.089803,0.440066,0.517573,-0.162456,0.795402
wrist_self_occlusion,nonshadow_visual_silhouette,all,4.417941,4.874607,0.376951,0.146405,0.454349,0.526199,-0.136065,0.769011
wrist_self_occlusion,generic_photometric_residual,all,4.375096,4.837531,0.352946,0.301110,0.454978,0.562728,-0.135688,0.768634
wrist_self_occlusion,robot_self_shadow_state,all,1.778533,2.125518,0.071270,0.051085,0.788960,0.749613,0.483197,0.149749
wrist_self_occlusion,oracle_self_state_estimator,all,1.061306,0.801405,0.048725,0.032526,0.884764,0.821152,0.638957,0.000000
gripper_cast_shadow,shadow_removal_inpainting,all,4.397591,4.798997,0.374865,0.155706,0.458583,0.522123,-0.130364,0.763310
gripper_cast_shadow,kinematic_only_self_model,all,4.510712,4.896890,0.383947,0.092203,0.451237,0.516318,-0.143226,0.776172
gripper_cast_shadow,nonshadow_visual_silhouette,all,4.395828,4.797471,0.369059,0.149605,0.461120,0.524170,-0.124325,0.757271
gripper_cast_shadow,generic_photometric_residual,all,4.372144,4.776975,0.346484,0.307910,0.459536,0.559937,-0.127014,0.759960
gripper_cast_shadow,robot_self_shadow_state,all,1.706924,2.055035,0.068408,0.051422,0.795802,0.751290,0.494698,0.138248
gripper_cast_shadow,oracle_self_state_estimator,all,1.041706,0.786605,0.047625,0.033226,0.886499,0.819894,0.641977,0.000000
elbow_table_shadow,shadow_removal_inpainting,all,4.418307,4.657424,0.358195,0.160106,0.469527,0.517754,-0.109418,0.742364
elbow_table_shadow,kinematic_only_self_model,all,4.555553,4.776195,0.367270,0.094603,0.460466,0.513594,-0.124199,0.757145
elbow_table_shadow,nonshadow_visual_silhouette,all,4.422784,4.661299,0.351299,0.152805,0.472038,0.522027,-0.102986,0.735932
elbow_table_shadow,generic_photometric_residual,all,4.451860,4.686460,0.334185,0.314710,0.464286,0.553196,-0.116020,0.748966
elbow_table_shadow,robot_self_shadow_state,all,2.018137,2.345739,0.074438,0.054080,0.768658,0.733680,0.450687,0.182259
elbow_table_shadow,oracle_self_state_estimator,all,0.980106,0.740305,0.044075,0.033926,0.892082,0.818632,0.651757,0.000000
reflected_fingertip,shadow_removal_inpainting,all,4.412926,4.928268,0.388901,0.164506,0.446795,0.519127,-0.151182,0.784128
reflected_fingertip,kinematic_only_self_model,all,4.544408,5.042050,0.399474,0.097003,0.437809,0.511560,-0.167383,0.800330
reflected_fingertip,nonshadow_visual_silhouette,all,4.410174,4.925886,0.383512,0.156005,0.449434,0.519923,-0.145067,0.778013
reflected_fingertip,generic_photometric_residual,all,4.392188,4.910321,0.361720,0.321510,0.446642,0.555251,-0.151606,0.784552
reflected_fingertip,robot_self_shadow_state,all,1.638833,1.989896,0.063001,0.052031,0.803117,0.755797,0.507769,0.125178
reflected_fingertip,oracle_self_state_estimator,all,1.098506,0.829005,0.051025,0.034626,0.881179,0.817365,0.632569,0.000377
tool_shadow_fixture,shadow_removal_inpainting,all,4.407823,5.010851,0.400261,0.171106,0.438948,0.513391,-0.164797,0.797743
tool_shadow_fixture,kinematic_only_self_model,all,4.533234,5.119380,0.409251,0.100603,0.431177,0.508471,-0.179255,0.812201
tool_shadow_fixture,nonshadow_visual_silhouette,all,4.408591,5.011516,0.393782,0.160805,0.441813,0.516783,-0.158138,0.791084
tool_shadow_fixture,generic_photometric_residual,all,4.407882,5.010902,0.373604,0.331710,0.436765,0.550874,-0.169290,0.802237
tool_shadow_fixture,robot_self_shadow_state,all,1.898944,2.247303,0.080551,0.055238,0.775457,0.734924,0.459100,0.173846
tool_shadow_fixture,oracle_self_state_estimator,all,1.141106,0.860805,0.053575,0.035676,0.877189,0.815456,0.625513,0.007433
cable_shadow_confusion,shadow_removal_inpainting,all,4.394244,4.738101,0.372710,0.251167,0.455501,0.465368,-0.137541,0.770487
cable_shadow_confusion,kinematic_only_self_model,all,4.500767,4.830284,0.376535,0.144273,0.453487,0.467655,-0.139526,0.772472
cable_shadow_confusion,nonshadow_visual_silhouette,all,4.446521,4.783340,0.364366,0.219031,0.456565,0.476537,-0.131873,0.764819
cable_shadow_confusion,generic_photometric_residual,all,4.742989,5.039899,0.373031,0.455441,0.414260,0.486468,-0.199781,0.832727
cable_shadow_confusion,robot_self_shadow_state,all,2.898097,3.184058,0.141362,0.080291,0.672906,0.636758,0.279530,0.353416
cable_shadow_confusion,oracle_self_state_estimator,all,1.113167,0.838031,0.052734,0.048413,0.878670,0.791418,0.627581,0.005366
arm_shadow_target,shadow_removal_inpainting,all,4.420943,4.732206,0.365806,0.160106,0.463473,0.519543,-0.120759,0.753705
arm_shadow_target,kinematic_only_self_model,all,4.567046,4.858641,0.376487,0.094603,0.453186,0.513424,-0.138113,0.771059
arm_shadow_target,nonshadow_visual_silhouette,all,4.415420,4.727426,0.359565,0.152805,0.466531,0.522096,-0.113754,0.746700
arm_shadow_target,generic_photometric_residual,all,4.389900,4.705341,0.337171,0.314710,0.464776,0.557544,-0.116212,0.749158
arm_shadow_target,robot_self_shadow_state,all,1.782827,2.126593,0.068608,0.052547,0.789551,0.745539,0.484940,0.148006
arm_shadow_target,oracle_self_state_estimator,all,1.010106,0.762805,0.045825,0.033926,0.889334,0.818632,0.646929,0.000000
sensor_rig_reflection,shadow_removal_inpainting,all,4.403417,4.688038,0.361782,0.177706,0.466263,0.511216,-0.116106,0.749052
sensor_rig_reflection,kinematic_only_self_model,all,4.523016,4.791538,0.370777,0.104203,0.459148,0.505327,-0.127705,0.760652
sensor_rig_reflection,nonshadow_visual_silhouette,all,4.412551,4.695943,0.355999,0.165605,0.468374,0.513579,-0.110442,0.743388
sensor_rig_reflection,generic_photometric_residual,all,4.458376,4.735599,0.340303,0.341910,0.457843,0.544190,-0.128936,0.761882
sensor_rig_reflection,robot_self_shadow_state,all,1.846797,2.192526,0.064110,0.055625,0.785467,0.739659,0.480021,0.152925
sensor_rig_reflection,oracle_self_state_estimator,all,1.015706,0.766605,0.046325,0.036726,0.888584,0.813536,0.645494,0.000000
transparent_object_shadow,shadow_removal_inpainting,all,4.434841,5.063233,0.405264,0.204106,0.431553,0.496642,-0.176093,0.809039
transparent_object_shadow,kinematic_only_self_model,all,4.598596,5.204944,0.416055,0.118603,0.421270,0.490954,-0.193934,0.826880
transparent_object_shadow,nonshadow_visual_silhouette,all,4.434737,5.063142,0.398372,0.184805,0.435256,0.500552,-0.168125,0.801071
transparent_object_shadow,generic_photometric_residual,all,4.452883,5.078846,0.380454,0.382710,0.426098,0.533593,-0.186091,0.819037
transparent_object_shadow,robot_self_shadow_state,all,2.040212,2.388577,0.085076,0.061820,0.761733,0.714934,0.436153,0.196794
transparent_object_shadow,oracle_self_state_estimator,all,1.186106,0.893805,0.056525,0.040926,0.872623,0.805748,0.617270,0.015676
shadow_contact_line,shadow_removal_inpainting,all,4.443618,5.157828,0.414296,0.155706,0.427280,0.522984,-0.182075,0.815022
shadow_contact_line,kinematic_only_self_model,all,4.618918,5.309530,0.427448,0.092203,0.413766,0.514912,-0.204820,0.837766
shadow_contact_line,nonshadow_visual_silhouette,all,4.425441,5.142098,0.408330,0.149605,0.431134,0.524185,-0.174719,0.807665
shadow_contact_line,generic_photometric_residual,all,4.342427,5.070259,0.380656,0.307910,0.435849,0.563686,-0.171660,0.804606
shadow_contact_line,robot_self_shadow_state,all,1.617393,1.953496,0.071861,0.050755,0.802646,0.756022,0.504123,0.128823
shadow_contact_line,oracle_self_state_estimator,all,1.173706,0.885605,0.055325,0.033226,0.874410,0.819894,0.620734,0.012212
body_shadow_handover,shadow_removal_inpainting,all,4.429761,4.913837,0.387894,0.168906,0.446839,0.513657,-0.151038,0.783984
body_shadow_handover,kinematic_only_self_model,all,4.586417,5.049404,0.398180,0.099403,0.436153,0.508815,-0.169330,0.802276
body_shadow_handover,nonshadow_visual_silhouette,all,4.433062,4.916693,0.381047,0.159205,0.449592,0.517831,-0.144340,0.777286
body_shadow_handover,generic_photometric_residual,all,4.467174,4.946213,0.364612,0.328310,0.440718,0.548570,-0.161183,0.794129
body_shadow_handover,robot_self_shadow_state,all,2.016767,2.358293,0.082382,0.055568,0.765340,0.729986,0.442861,0.190085
body_shadow_handover,oracle_self_state_estimator,all,1.090906,0.823205,0.050625,0.035326,0.881816,0.816094,0.633659,0.000000
specular_insertion_reflection,shadow_removal_inpainting,all,4.437339,5.181394,0.417244,0.186506,0.423300,0.508889,-0.188228,0.821175
specular_insertion_reflection,kinematic_only_self_model,all,4.608735,5.329718,0.430377,0.109003,0.411072,0.499754,-0.208811,0.841757
specular_insertion_reflection,nonshadow_visual_silhouette,all,4.429737,5.174816,0.411923,0.172005,0.426709,0.509306,-0.181247,0.814193
specular_insertion_reflection,generic_photometric_residual,all,4.407579,5.155640,0.390118,0.355510,0.422982,0.545077,-0.191394,0.824340
specular_insertion_reflection,robot_self_shadow_state,all,1.624102,1.955720,0.066072,0.055093,0.803956,0.747775,0.507906,0.125040
specular_insertion_reflection,oracle_self_state_estimator,all,1.216506,0.917005,0.058125,0.038126,0.870076,0.810960,0.612912,0.020034
